Year,Country Code,Value,Variable
2029,AFG,,"Gross domestic product per capita, constant prices"
1980,ALB,5557.555,"Gross domestic product per capita, constant prices"
1981,ALB,5757.844,"Gross domestic product per capita, constant prices"
1982,ALB,5800.928,"Gross domestic product per capita, constant prices"
1983,ALB,5741.664,"Gross domestic product per capita, constant prices"
1984,ALB,5734.567,"Gross domestic product per capita, constant prices"
1985,ALB,5533.6,"Gross domestic product per capita, constant prices"
1986,ALB,5731.6,"Gross domestic product per capita, constant prices"
1987,ALB,5573.326,"Gross domestic product per capita, constant prices"
1988,ALB,5392.591,"Gross domestic product per capita, constant prices"
1989,ALB,5764.035,"Gross domestic product per capita, constant prices"
1990,ALB,5095.136,"Gross domestic product per capita, constant prices"
1991,ALB,3690.679,"Gross domestic product per capita, constant prices"
1992,ALB,3445.783,"Gross domestic product per capita, constant prices"
1993,ALB,3799.692,"Gross domestic product per capita, constant prices"
1994,ALB,4182.46,"Gross domestic product per capita, constant prices"
1995,ALB,4582.92,"Gross domestic product per capita, constant prices"
1996,ALB,5031.138,"Gross domestic product per capita, constant prices"
1997,ALB,4509.643,"Gross domestic product per capita, constant prices"
1998,ALB,4938.799,"Gross domestic product per capita, constant prices"
1999,ALB,5610.87,"Gross domestic product per capita, constant prices"
2000,ALB,6038.985,"Gross domestic product per capita, constant prices"
2001,ALB,6601.478,"Gross domestic product per capita, constant prices"
2002,ALB,6921.684,"Gross domestic product per capita, constant prices"
2003,ALB,7331.739,"Gross domestic product per capita, constant prices"
2004,ALB,7768.469,"Gross domestic product per capita, constant prices"
2005,ALB,8239.854,"Gross domestic product per capita, constant prices"
2006,ALB,8781.447,"Gross domestic product per capita, constant prices"
2007,ALB,9377.463,"Gross domestic product per capita, constant prices"
2008,ALB,10158.433,"Gross domestic product per capita, constant prices"
2009,ALB,10570.167,"Gross domestic product per capita, constant prices"
2010,ALB,11016.55,"Gross domestic product per capita, constant prices"
2011,ALB,11327.398,"Gross domestic product per capita, constant prices"
2012,ALB,11506.955,"Gross domestic product per capita, constant prices"
2013,ALB,11643.566,"Gross domestic product per capita, constant prices"
2014,ALB,11874.74,"Gross domestic product per capita, constant prices"
2015,ALB,12173.622,"Gross domestic product per capita, constant prices"
2016,ALB,12597.301,"Gross domestic product per capita, constant prices"
2017,ALB,13039.696,"Gross domestic product per capita, constant prices"
2018,ALB,13570.554,"Gross domestic product per capita, constant prices"
2019,ALB,13862.63,"Gross domestic product per capita, constant prices"
2020,ALB,13419.375,"Gross domestic product per capita, constant prices"
2021,ALB,14639.597,"Gross domestic product per capita, constant prices"
2022,ALB,15383.88,"Gross domestic product per capita, constant prices"
2023,ALB,15935.294,"Gross domestic product per capita, constant prices"
2024,ALB,16476.659,"Gross domestic product per capita, constant prices"
2025,ALB,17090.905,"Gross domestic product per capita, constant prices"
2026,ALB,17750.321,"Gross domestic product per capita, constant prices"
2027,ALB,18431.571,"Gross domestic product per capita, constant prices"
2028,ALB,19144.767,"Gross domestic product per capita, constant prices"
2029,ALB,19889.199,"Gross domestic product per capita, constant prices"
1980,DZA,10218.263,"Gross domestic product per capita, constant prices"
1981,DZA,10207.634,"Gross domestic product per capita, constant prices"
1982,DZA,10523.023,"Gross domestic product per capita, constant prices"
1983,DZA,10738.784,"Gross domestic product per capita, constant prices"
1984,DZA,10987.233,"Gross domestic product per capita, constant prices"
1985,DZA,11066.815,"Gross domestic product per capita, constant prices"
1986,DZA,10754.033,"Gross domestic product per capita, constant prices"
1987,DZA,10404.94,"Gross domestic product per capita, constant prices"
1988,DZA,9910.77,"Gross domestic product per capita, constant prices"
1989,DZA,10134.184,"Gross domestic product per capita, constant prices"
1990,DZA,10083.801,"Gross domestic product per capita, constant prices"
1991,DZA,9721.525,"Gross domestic product per capita, constant prices"
1992,DZA,9640.961,"Gross domestic product per capita, constant prices"
1993,DZA,9219.623,"Gross domestic product per capita, constant prices"
1994,DZA,8936.608,"Gross domestic product per capita, constant prices"
1995,DZA,9093.926,"Gross domestic product per capita, constant prices"
1996,DZA,9272.29,"Gross domestic product per capita, constant prices"
1997,DZA,9219.688,"Gross domestic product per capita, constant prices"
1998,DZA,9538.175,"Gross domestic product per capita, constant prices"
1999,DZA,9692.945,"Gross domestic product per capita, constant prices"
2000,DZA,9882.848,"Gross domestic product per capita, constant prices"
2001,DZA,10032.007,"Gross domestic product per capita, constant prices"
2002,DZA,10418.306,"Gross domestic product per capita, constant prices"
2003,DZA,10931.954,"Gross domestic product per capita, constant prices"
2004,DZA,11257.407,"Gross domestic product per capita, constant prices"
2005,DZA,11684.367,"Gross domestic product per capita, constant prices"
2006,DZA,11840.876,"Gross domestic product per capita, constant prices"
2007,DZA,12029.272,"Gross domestic product per capita, constant prices"
2008,DZA,12063.113,"Gross domestic product per capita, constant prices"
2009,DZA,11968.318,"Gross domestic product per capita, constant prices"
2010,DZA,12297.062,"Gross domestic product per capita, constant prices"
2011,DZA,12410.163,"Gross domestic product per capita, constant prices"
2012,DZA,12448.28,"Gross domestic product per capita, constant prices"
2013,DZA,12504.092,"Gross domestic product per capita, constant prices"
2014,DZA,12743.188,"Gross domestic product per capita, constant prices"
2015,DZA,12866.813,"Gross domestic product per capita, constant prices"
2016,DZA,13080.748,"Gross domestic product per capita, constant prices"
2017,DZA,12998.363,"Gross domestic product per capita, constant prices"
2018,DZA,12920.12,"Gross domestic product per capita, constant prices"
2019,DZA,12786.558,"Gross domestic product per capita, constant prices"
2020,DZA,12026.735,"Gross domestic product per capita, constant prices"
2021,DZA,12281.106,"Gross domestic product per capita, constant prices"
2022,DZA,12524.602,"Gross domestic product per capita, constant prices"
2023,DZA,12854.883,"Gross domestic product per capita, constant prices"
2024,DZA,13162.677,"Gross domestic product per capita, constant prices"
2025,DZA,13391.67,"Gross domestic product per capita, constant prices"
2026,DZA,13557.343,"Gross domestic product per capita, constant prices"
2027,DZA,13679.396,"Gross domestic product per capita, constant prices"
2028,DZA,13802.24,"Gross domestic product per capita, constant prices"
2029,DZA,13927.054,"Gross domestic product per capita, constant prices"
1980,AND,,"Gross domestic product per capita, constant prices"
1981,AND,,"Gross domestic product per capita, constant prices"
1982,AND,,"Gross domestic product per capita, constant prices"
1983,AND,,"Gross domestic product per capita, constant prices"
1984,AND,,"Gross domestic product per capita, constant prices"
1985,AND,,"Gross domestic product per capita, constant prices"
1986,AND,,"Gross domestic product per capita, constant prices"
1987,AND,,"Gross domestic product per capita, constant prices"
1988,AND,,"Gross domestic product per capita, constant prices"
1989,AND,,"Gross domestic product per capita, constant prices"
1990,AND,,"Gross domestic product per capita, constant prices"
1991,AND,,"Gross domestic product per capita, constant prices"
1992,AND,,"Gross domestic product per capita, constant prices"
1993,AND,,"Gross domestic product per capita, constant prices"
1994,AND,,"Gross domestic product per capita, constant prices"
1995,AND,,"Gross domestic product per capita, constant prices"
1996,AND,,"Gross domestic product per capita, constant prices"
1997,AND,,"Gross domestic product per capita, constant prices"
1998,AND,,"Gross domestic product per capita, constant prices"
1999,AND,,"Gross domestic product per capita, constant prices"
2000,AND,,"Gross domestic product per capita, constant prices"
2001,AND,,"Gross domestic product per capita, constant prices"
2002,AND,,"Gross domestic product per capita, constant prices"
2003,AND,,"Gross domestic product per capita, constant prices"
2004,AND,,"Gross domestic product per capita, constant prices"
2005,AND,,"Gross domestic product per capita, constant prices"
2006,AND,,"Gross domestic product per capita, constant prices"
2007,AND,,"Gross domestic product per capita, constant prices"
2008,AND,,"Gross domestic product per capita, constant prices"
2009,AND,,"Gross domestic product per capita, constant prices"
2010,AND,60467.086,"Gross domestic product per capita, constant prices"
2011,AND,60911.089,"Gross domestic product per capita, constant prices"
2012,AND,57892.718,"Gross domestic product per capita, constant prices"
2013,AND,55672.916,"Gross domestic product per capita, constant prices"
2014,AND,56578.793,"Gross domestic product per capita, constant prices"
2015,AND,56460.538,"Gross domestic product per capita, constant prices"
2016,AND,57455.308,"Gross domestic product per capita, constant prices"
2017,AND,56352.197,"Gross domestic product per capita, constant prices"
2018,AND,56208.168,"Gross domestic product per capita, constant prices"
2019,AND,56330.948,"Gross domestic product per capita, constant prices"
2020,AND,49728.236,"Gross domestic product per capita, constant prices"
2021,AND,52819.99,"Gross domestic product per capita, constant prices"
2022,AND,56415.783,"Gross domestic product per capita, constant prices"
2023,AND,55317.396,"Gross domestic product per capita, constant prices"
2024,AND,55218.64,"Gross domestic product per capita, constant prices"
2025,AND,54957.623,"Gross domestic product per capita, constant prices"
2026,AND,54697.84,"Gross domestic product per capita, constant prices"
2027,AND,54439.286,"Gross domestic product per capita, constant prices"
2028,AND,54181.953,"Gross domestic product per capita, constant prices"
2029,AND,53925.837,"Gross domestic product per capita, constant prices"
1980,AGO,3496.048,"Gross domestic product per capita, constant prices"
1981,AGO,3254.269,"Gross domestic product per capita, constant prices"
1982,AGO,3170.396,"Gross domestic product per capita, constant prices"
1983,AGO,3219.271,"Gross domestic product per capita, constant prices"
1984,AGO,3324.535,"Gross domestic product per capita, constant prices"
1985,AGO,3053.547,"Gross domestic product per capita, constant prices"
1986,AGO,3054.82,"Gross domestic product per capita, constant prices"
1987,AGO,3100.31,"Gross domestic product per capita, constant prices"
1988,AGO,3203.555,"Gross domestic product per capita, constant prices"
1989,AGO,3119.337,"Gross domestic product per capita, constant prices"
1990,AGO,2933.412,"Gross domestic product per capita, constant prices"
1991,AGO,3180.311,"Gross domestic product per capita, constant prices"
1992,AGO,3429.696,"Gross domestic product per capita, constant prices"
1993,AGO,3687.462,"Gross domestic product per capita, constant prices"
1994,AGO,3946.765,"Gross domestic product per capita, constant prices"
1995,AGO,4214.831,"Gross domestic product per capita, constant prices"
1996,AGO,4533.696,"Gross domestic product per capita, constant prices"
1997,AGO,4703.96,"Gross domestic product per capita, constant prices"
1998,AGO,4765.766,"Gross domestic product per capita, constant prices"
1999,AGO,4715.12,"Gross domestic product per capita, constant prices"
2000,AGO,4704.042,"Gross domestic product per capita, constant prices"
2001,AGO,4743.472,"Gross domestic product per capita, constant prices"
2002,AGO,5214.845,"Gross domestic product per capita, constant prices"
2003,AGO,5190.531,"Gross domestic product per capita, constant prices"
2004,AGO,5560.617,"Gross domestic product per capita, constant prices"
2005,AGO,6172.758,"Gross domestic product per capita, constant prices"
2006,AGO,6642.628,"Gross domestic product per capita, constant prices"
2007,AGO,7302.588,"Gross domestic product per capita, constant prices"
2008,AGO,7825.396,"Gross domestic product per capita, constant prices"
2009,AGO,7606.389,"Gross domestic product per capita, constant prices"
2010,AGO,7683.606,"Gross domestic product per capita, constant prices"
2011,AGO,7657.088,"Gross domestic product per capita, constant prices"
2012,AGO,8004.574,"Gross domestic product per capita, constant prices"
2013,AGO,8093.129,"Gross domestic product per capita, constant prices"
2014,AGO,8176.552,"Gross domestic product per capita, constant prices"
2015,AGO,7960.448,"Gross domestic product per capita, constant prices"
2016,AGO,7481.876,"Gross domestic product per capita, constant prices"
2017,AGO,7210.026,"Gross domestic product per capita, constant prices"
2018,AGO,6872.841,"Gross domestic product per capita, constant prices"
2019,AGO,6596.756,"Gross domestic product per capita, constant prices"
2020,AGO,6024.653,"Gross domestic product per capita, constant prices"
2021,AGO,5906.891,"Gross domestic product per capita, constant prices"
2022,AGO,5880.912,"Gross domestic product per capita, constant prices"
2023,AGO,5736.462,"Gross domestic product per capita, constant prices"
2024,AGO,5711.848,"Gross domestic product per capita, constant prices"
2025,AGO,5718.959,"Gross domestic product per capita, constant prices"
2026,AGO,5740.869,"Gross domestic product per capita, constant prices"
2027,AGO,5768.622,"Gross domestic product per capita, constant prices"
2028,AGO,5800.329,"Gross domestic product per capita, constant prices"
2029,AGO,5835.771,"Gross domestic product per capita, constant prices"
1980,ATG,8035.73,"Gross domestic product per capita, constant prices"
1981,ATG,8408.199,"Gross domestic product per capita, constant prices"
1982,ATG,8498.521,"Gross domestic product per capita, constant prices"
1983,ATG,9085.13,"Gross domestic product per capita, constant prices"
1984,ATG,10172.575,"Gross domestic product per capita, constant prices"
1985,ATG,11136.582,"Gross domestic product per capita, constant prices"
1986,ATG,12635.412,"Gross domestic product per capita, constant prices"
1987,ATG,13710.568,"Gross domestic product per capita, constant prices"
1988,ATG,14643.582,"Gross domestic product per capita, constant prices"
1989,ATG,15554.714,"Gross domestic product per capita, constant prices"
1990,ATG,16038.962,"Gross domestic product per capita, constant prices"
1991,ATG,16255.198,"Gross domestic product per capita, constant prices"
1992,ATG,16178.585,"Gross domestic product per capita, constant prices"
1993,ATG,16656.261,"Gross domestic product per capita, constant prices"
1994,ATG,17319.18,"Gross domestic product per capita, constant prices"
1995,ATG,16128.15,"Gross domestic product per capita, constant prices"
1996,ATG,16729.433,"Gross domestic product per capita, constant prices"
1997,ATG,17159.331,"Gross domestic product per capita, constant prices"
1998,ATG,17493.019,"Gross domestic product per capita, constant prices"
1999,ATG,17703.964,"Gross domestic product per capita, constant prices"
2000,ATG,18413.006,"Gross domestic product per capita, constant prices"
2001,ATG,17280.92,"Gross domestic product per capita, constant prices"
2002,ATG,17283.433,"Gross domestic product per capita, constant prices"
2003,ATG,18158.932,"Gross domestic product per capita, constant prices"
2004,ATG,19016.032,"Gross domestic product per capita, constant prices"
2005,ATG,20042.005,"Gross domestic product per capita, constant prices"
2006,ATG,22351.758,"Gross domestic product per capita, constant prices"
2007,ATG,24170.701,"Gross domestic product per capita, constant prices"
2008,ATG,23896.288,"Gross domestic product per capita, constant prices"
2009,ATG,20795.824,"Gross domestic product per capita, constant prices"
2010,ATG,18939.279,"Gross domestic product per capita, constant prices"
2011,ATG,18363.264,"Gross domestic product per capita, constant prices"
2012,ATG,18714.358,"Gross domestic product per capita, constant prices"
2013,ATG,18332.457,"Gross domestic product per capita, constant prices"
2014,ATG,18747.095,"Gross domestic product per capita, constant prices"
2015,ATG,19171.493,"Gross domestic product per capita, constant prices"
2016,ATG,19917.622,"Gross domestic product per capita, constant prices"
2017,ATG,20231.285,"Gross domestic product per capita, constant prices"
2018,ATG,21285.936,"Gross domestic product per capita, constant prices"
2019,ATG,21879.305,"Gross domestic product per capita, constant prices"
2020,ATG,17783.905,"Gross domestic product per capita, constant prices"
2021,ATG,18674.669,"Gross domestic product per capita, constant prices"
2022,ATG,19966.001,"Gross domestic product per capita, constant prices"
2023,ATG,20842.348,"Gross domestic product per capita, constant prices"
2024,ATG,21808.434,"Gross domestic product per capita, constant prices"
2025,ATG,22387.965,"Gross domestic product per capita, constant prices"
2026,ATG,22709.093,"Gross domestic product per capita, constant prices"
2027,ATG,23035.47,"Gross domestic product per capita, constant prices"
2028,ATG,23369.629,"Gross domestic product per capita, constant prices"
2029,ATG,23711.77,"Gross domestic product per capita, constant prices"
1980,ARG,18295.43,"Gross domestic product per capita, constant prices"
1981,ARG,16941.517,"Gross domestic product per capita, constant prices"
1982,ARG,16135.866,"Gross domestic product per capita, constant prices"
1983,ARG,16504.371,"Gross domestic product per capita, constant prices"
1984,ARG,16552.431,"Gross domestic product per capita, constant prices"
1985,ARG,15143.015,"Gross domestic product per capita, constant prices"
1986,ARG,16019.229,"Gross domestic product per capita, constant prices"
1987,ARG,16239.404,"Gross domestic product per capita, constant prices"
1988,ARG,15729.402,"Gross domestic product per capita, constant prices"
1989,ARG,14448.213,"Gross domestic product per capita, constant prices"
1990,ARG,13961.355,"Gross domestic product per capita, constant prices"
1991,ARG,15221.154,"Gross domestic product per capita, constant prices"
1992,ARG,16562.766,"Gross domestic product per capita, constant prices"
1993,ARG,17339.998,"Gross domestic product per capita, constant prices"
1994,ARG,18118.153,"Gross domestic product per capita, constant prices"
1995,ARG,17387.03,"Gross domestic product per capita, constant prices"
1996,ARG,18130.831,"Gross domestic product per capita, constant prices"
1997,ARG,19376.357,"Gross domestic product per capita, constant prices"
1998,ARG,19898.279,"Gross domestic product per capita, constant prices"
1999,ARG,19016.963,"Gross domestic product per capita, constant prices"
2000,ARG,18669.291,"Gross domestic product per capita, constant prices"
2001,ARG,17667.359,"Gross domestic product per capita, constant prices"
2002,ARG,15591.765,"Gross domestic product per capita, constant prices"
2003,ARG,16829.222,"Gross domestic product per capita, constant prices"
2004,ARG,18158.053,"Gross domestic product per capita, constant prices"
2005,ARG,19577.851,"Gross domestic product per capita, constant prices"
2006,ARG,20947.882,"Gross domestic product per capita, constant prices"
2007,ARG,22610.954,"Gross domestic product per capita, constant prices"
2008,ARG,23297.932,"Gross domestic product per capita, constant prices"
2009,ARG,21706.693,"Gross domestic product per capita, constant prices"
2010,ARG,23521.279,"Gross domestic product per capita, constant prices"
2011,ARG,24647.633,"Gross domestic product per capita, constant prices"
2012,ARG,24118.874,"Gross domestic product per capita, constant prices"
2013,ARG,24424.139,"Gross domestic product per capita, constant prices"
2014,ARG,23550.112,"Gross domestic product per capita, constant prices"
2015,ARG,23933.897,"Gross domestic product per capita, constant prices"
2016,ARG,23189.53,"Gross domestic product per capita, constant prices"
2017,ARG,23597.118,"Gross domestic product per capita, constant prices"
2018,ARG,22747.258,"Gross domestic product per capita, constant prices"
2019,ARG,22071.752,"Gross domestic product per capita, constant prices"
2020,ARG,19694.565,"Gross domestic product per capita, constant prices"
2021,ARG,21599.809,"Gross domestic product per capita, constant prices"
2022,ARG,22461.445,"Gross domestic product per capita, constant prices"
2023,ARG,21890.108,"Gross domestic product per capita, constant prices"
2024,ARG,21074.265,"Gross domestic product per capita, constant prices"
2025,ARG,21909.558,"Gross domestic product per capita, constant prices"
2026,ARG,22667.678,"Gross domestic product per capita, constant prices"
2027,ARG,23318.598,"Gross domestic product per capita, constant prices"
2028,ARG,23803.442,"Gross domestic product per capita, constant prices"
2029,ARG,24109.953,"Gross domestic product per capita, constant prices"
1980,ARM,,"Gross domestic product per capita, constant prices"
1981,ARM,,"Gross domestic product per capita, constant prices"
1982,ARM,,"Gross domestic product per capita, constant prices"
1983,ARM,,"Gross domestic product per capita, constant prices"
1984,ARM,,"Gross domestic product per capita, constant prices"
1985,ARM,,"Gross domestic product per capita, constant prices"
1986,ARM,,"Gross domestic product per capita, constant prices"
1987,ARM,,"Gross domestic product per capita, constant prices"
1988,ARM,,"Gross domestic product per capita, constant prices"
1989,ARM,,"Gross domestic product per capita, constant prices"
1990,ARM,,"Gross domestic product per capita, constant prices"
1991,ARM,,"Gross domestic product per capita, constant prices"
1992,ARM,2869.118,"Gross domestic product per capita, constant prices"
1993,ARM,2524.428,"Gross domestic product per capita, constant prices"
1994,ARM,2725.446,"Gross domestic product per capita, constant prices"
1995,ARM,3008.385,"Gross domestic product per capita, constant prices"
1996,ARM,3213.801,"Gross domestic product per capita, constant prices"
1997,ARM,3354.408,"Gross domestic product per capita, constant prices"
1998,ARM,3599.154,"Gross domestic product per capita, constant prices"
1999,ARM,3737.288,"Gross domestic product per capita, constant prices"
2000,ARM,3968.862,"Gross domestic product per capita, constant prices"
2001,ARM,4373.031,"Gross domestic product per capita, constant prices"
2002,ARM,5037.008,"Gross domestic product per capita, constant prices"
2003,ARM,5763.714,"Gross domestic product per capita, constant prices"
2004,ARM,6388.343,"Gross domestic product per capita, constant prices"
2005,ARM,7338.391,"Gross domestic product per capita, constant prices"
2006,ARM,8334.602,"Gross domestic product per capita, constant prices"
2007,ARM,9512.249,"Gross domestic product per capita, constant prices"
2008,ARM,10207.267,"Gross domestic product per capita, constant prices"
2009,ARM,8792.453,"Gross domestic product per capita, constant prices"
2010,ARM,8996.936,"Gross domestic product per capita, constant prices"
2011,ARM,9414.576,"Gross domestic product per capita, constant prices"
2012,ARM,10079.399,"Gross domestic product per capita, constant prices"
2013,ARM,10388.322,"Gross domestic product per capita, constant prices"
2014,ARM,10744.185,"Gross domestic product per capita, constant prices"
2015,ARM,11074.408,"Gross domestic product per capita, constant prices"
2016,ARM,11087.768,"Gross domestic product per capita, constant prices"
2017,ARM,11974.031,"Gross domestic product per capita, constant prices"
2018,ARM,12644.049,"Gross domestic product per capita, constant prices"
2019,ARM,13637.865,"Gross domestic product per capita, constant prices"
2020,ARM,12667.555,"Gross domestic product per capita, constant prices"
2021,ARM,13384.879,"Gross domestic product per capita, constant prices"
2022,ARM,15070.693,"Gross domestic product per capita, constant prices"
2023,ARM,16382.681,"Gross domestic product per capita, constant prices"
2024,ARM,17366.109,"Gross domestic product per capita, constant prices"
2025,ARM,18276.368,"Gross domestic product per capita, constant prices"
2026,ARM,19097.276,"Gross domestic product per capita, constant prices"
2027,ARM,19955.057,"Gross domestic product per capita, constant prices"
2028,ARM,20851.367,"Gross domestic product per capita, constant prices"
2029,ARM,21787.935,"Gross domestic product per capita, constant prices"
1980,ABW,,"Gross domestic product per capita, constant prices"
1981,ABW,,"Gross domestic product per capita, constant prices"
1982,ABW,,"Gross domestic product per capita, constant prices"
1983,ABW,,"Gross domestic product per capita, constant prices"
1984,ABW,,"Gross domestic product per capita, constant prices"
1985,ABW,,"Gross domestic product per capita, constant prices"
1986,ABW,21671.743,"Gross domestic product per capita, constant prices"
1987,ABW,25441.905,"Gross domestic product per capita, constant prices"
1988,ABW,30013.645,"Gross domestic product per capita, constant prices"
1989,ABW,32962.475,"Gross domestic product per capita, constant prices"
1990,ABW,32967.377,"Gross domestic product per capita, constant prices"
1991,ABW,34292.324,"Gross domestic product per capita, constant prices"
1992,ABW,35073.111,"Gross domestic product per capita, constant prices"
1993,ABW,35244.59,"Gross domestic product per capita, constant prices"
1994,ABW,36215.205,"Gross domestic product per capita, constant prices"
1995,ABW,36094.061,"Gross domestic product per capita, constant prices"
1996,ABW,35131.701,"Gross domestic product per capita, constant prices"
1997,ABW,36168.376,"Gross domestic product per capita, constant prices"
1998,ABW,35991.147,"Gross domestic product per capita, constant prices"
1999,ABW,35993.132,"Gross domestic product per capita, constant prices"
2000,ABW,38361.726,"Gross domestic product per capita, constant prices"
2001,ABW,39593.982,"Gross domestic product per capita, constant prices"
2002,ABW,38949.239,"Gross domestic product per capita, constant prices"
2003,ABW,38935.868,"Gross domestic product per capita, constant prices"
2004,ABW,40893.21,"Gross domestic product per capita, constant prices"
2005,ABW,39695.063,"Gross domestic product per capita, constant prices"
2006,ABW,39427.559,"Gross domestic product per capita, constant prices"
2007,ABW,40343.732,"Gross domestic product per capita, constant prices"
2008,ABW,40771.924,"Gross domestic product per capita, constant prices"
2009,ABW,35766.869,"Gross domestic product per capita, constant prices"
2010,ABW,34709.273,"Gross domestic product per capita, constant prices"
2011,ABW,35615.545,"Gross domestic product per capita, constant prices"
2012,ABW,34730.664,"Gross domestic product per capita, constant prices"
2013,ABW,36416.742,"Gross domestic product per capita, constant prices"
2014,ABW,35459.05,"Gross domestic product per capita, constant prices"
2015,ABW,34879.199,"Gross domestic product per capita, constant prices"
2016,ABW,35211.099,"Gross domestic product per capita, constant prices"
2017,ABW,37690.202,"Gross domestic product per capita, constant prices"
2018,ABW,38526.637,"Gross domestic product per capita, constant prices"
2019,ABW,37537.78,"Gross domestic product per capita, constant prices"
2020,ABW,28697.096,"Gross domestic product per capita, constant prices"
2021,ABW,36930.258,"Gross domestic product per capita, constant prices"
2022,ABW,40940.974,"Gross domestic product per capita, constant prices"
2023,ABW,43178.994,"Gross domestic product per capita, constant prices"
2024,ABW,43694.872,"Gross domestic product per capita, constant prices"
2025,ABW,44187.587,"Gross domestic product per capita, constant prices"
2026,ABW,44742.213,"Gross domestic product per capita, constant prices"
2027,ABW,45316.552,"Gross domestic product per capita, constant prices"
2028,ABW,45914.084,"Gross domestic product per capita, constant prices"
2029,ABW,46519.494,"Gross domestic product per capita, constant prices"
1980,AUS,26309.998,"Gross domestic product per capita, constant prices"
1981,AUS,26963.346,"Gross domestic product per capita, constant prices"
1982,AUS,26539.592,"Gross domestic product per capita, constant prices"
1983,AUS,26081.926,"Gross domestic product per capita, constant prices"
1984,AUS,27394.216,"Gross domestic product per capita, constant prices"
1985,AUS,28483.28,"Gross domestic product per capita, constant prices"
1986,AUS,28749.882,"Gross domestic product per capita, constant prices"
1987,AUS,29685.854,"Gross domestic product per capita, constant prices"
1988,AUS,30406.099,"Gross domestic product per capita, constant prices"
1989,AUS,31349.165,"Gross domestic product per capita, constant prices"
1990,AUS,31391.676,"Gross domestic product per capita, constant prices"
1991,AUS,30705.221,"Gross domestic product per capita, constant prices"
1992,AUS,31179.117,"Gross domestic product per capita, constant prices"
1993,AUS,32108.061,"Gross domestic product per capita, constant prices"
1994,AUS,33337.59,"Gross domestic product per capita, constant prices"
1995,AUS,33895.708,"Gross domestic product per capita, constant prices"
1996,AUS,34851.201,"Gross domestic product per capita, constant prices"
1997,AUS,36119.971,"Gross domestic product per capita, constant prices"
1998,AUS,37424.989,"Gross domestic product per capita, constant prices"
1999,AUS,38634.804,"Gross domestic product per capita, constant prices"
2000,AUS,39366.164,"Gross domestic product per capita, constant prices"
2001,AUS,39893.241,"Gross domestic product per capita, constant prices"
2002,AUS,41085.509,"Gross domestic product per capita, constant prices"
2003,AUS,41845.946,"Gross domestic product per capita, constant prices"
2004,AUS,43094.544,"Gross domestic product per capita, constant prices"
2005,AUS,43809.19,"Gross domestic product per capita, constant prices"
2006,AUS,44274.257,"Gross domestic product per capita, constant prices"
