PERIODO,MES,COD_TIPO_OPERACION,COD_REGION_ORIGEN,COD_VIA_TRANSPORTE,COD_PUERTO_EMBARQUE,COD_PAIS_DESTINO,ITEM_SA,FOB_US_DUSLEG,FOBUS_AJUSTADO_IVV,PESO_BRUTO_KG,CANTIDAD_MERCANCIA,COD_UNIDAD_MEDIDA
2025,1,200,2,1,207,317,28012000,"5206228,96","5206228,96",74640,72000,6
2025,1,200,2,1,207,317,28252011,"600578,64","600578,64",77250,75000,6
2025,1,200,2,1,207,317,26131010,"2065723,43","2065723,43",80120,80000,6
2025,1,200,2,1,207,317,28012000,3153600,3111480,"45164,2",43200,6
2025,1,200,2,1,207,319,28342100,"222489,6","222489,6",246264,240000,6
2025,1,200,2,1,207,319,74031100,"3147188,21","3156540,87",351492,351190,6
2025,1,200,2,1,207,328,74031100,"2205616,3","2340345,38",251477,251263,6
2025,1,200,2,1,207,505,74031100,"31104958,72","34042369,93",3541316,3538516,6
2025,1,200,2,1,207,563,74031100,"1779342,12","1806415,85",201331,201187,6
2025,1,200,2,1,207,515,26131010,"1099451,82","1092690,2",41406,40000,6
2025,1,200,2,1,207,515,74031100,"7151477,5",7252369,801390,800806,6
2025,1,200,2,1,207,515,26131010,"9589730,17","9445237,91",373626,360000,6
2025,1,200,2,1,207,511,74031100,"8928036,45","9405969,69",1001343,1000463,6
2025,1,200,2,1,821,331,26030000,"58603795,87","64747982,19",22007100,22007100,6
2025,1,200,2,1,903,226,28369140,"118604,85","118604,85",20620,20000,6
2025,1,200,2,1,903,225,26139010,"2088464,87","2010044,51",106842,105246,6
2025,1,200,2,1,903,225,28369130,"2500006,35","2500006,35",409764,397000,6
2025,1,200,2,1,903,225,28369140,"909091,37","909091,37",158794,154000,6
2025,1,200,2,1,903,225,74031100,"31449688,37","31646029,15",3512118,3509236,6
2025,1,200,2,1,903,225,74031100,"27070416,57","27750229,59",3009294,3006872,6
2025,1,200,2,1,903,216,74031100,"1799774,64","1814326,72",202092,201916,6
2025,1,200,2,1,903,216,74031100,"871297,81","893925,76",101053,101013,6
2025,1,200,2,1,903,219,74031100,"1770197,76","1784854,21",200590,200430,6
2025,1,200,2,1,903,220,26131010,"5609371,85","5597382,46",204280,200000,6
2025,1,200,2,1,903,220,28342100,"30935,26","30935,26",24060,24000,6
2025,1,200,2,1,903,220,74031100,"7471783,13","7566597,05",830437,829706,6
2025,1,200,2,1,903,220,26131010,"9892222,67","9877835,23",368100,360000,6
2025,1,200,2,1,903,220,74031100,"26258030,38","26643275,72",2964269,2961831,6
2025,1,200,2,1,903,220,26131010,"3355499,6","3355499,6",122700,120000,6
2025,1,200,2,1,903,220,74031100,"16615895,46","16740472,54",1847348,1845852,6
2025,1,200,2,1,903,220,25280010,521101,521101,1624860,1620000,6
2025,1,200,2,1,903,220,28252011,"275750,56","275750,56",20600,20000,6
2025,1,200,2,1,903,220,28342100,158850,158850,120301,120000,6
2025,1,200,2,1,903,220,74031100,"3769244,5","3840370,27",427225,426893,6
2025,1,200,2,1,903,220,74031100,"5474238,25","5638436,53",602711,602231,6
2025,1,200,2,1,903,220,74031100,"1099376,37","1128444,39",124647,124547,6
2025,1,200,2,1,903,336,26030000,"44112428,32","45329982,14",22998100,22998100,6
2025,1,200,2,1,903,336,26030000,"31393195,49","32611832,72",12652190,12652190,6
2025,1,200,2,1,903,317,26131010,"5148217,94","5014063,63",183852,180000,6
2025,1,200,2,1,903,504,74031100,"4468488,66","4679410,12",500646,500214,6
2025,1,200,2,1,903,517,74031100,"4334867,93","4431714,61",498478,498044,6
2025,1,200,2,1,903,517,74031100,"1335780,62","1372042,88",151015,150883,6
2025,1,200,2,1,903,563,74031100,"8965615,51","9010939,77",1006783,1006001,6
2025,1,200,2,1,903,515,26131010,"5090835,39","5056499,03",184952,180000,6
2025,1,200,2,1,903,515,74031100,"8897432,64","9319465,61",996734,995948,6
2025,1,200,2,1,905,336,74031100,11722537,"11936028,01",1295906,1294866,6
2025,1,200,2,1,905,330,74031100,"1756561,57","1754299,72",198057,197887,6
2025,1,200,2,1,905,333,28369130,"2481844,01","2481844,01",392220,380000,6
2025,1,200,2,1,905,333,74031100,"1322852,44","1317758,34",147880,147762,6
2025,1,200,2,1,905,331,28369130,"2903312,23","2903312,23",433440,420000,6
2025,1,200,2,1,905,330,74031100,"2734241,9","2704980,24",301244,300984,6
2025,1,200,2,1,905,319,74031100,7187027,"7004461,38",801497,800821,6
2025,1,200,2,1,908,336,74031100,"32035812,32","32503688,2",3656326,3653270,6
2025,1,200,2,1,908,333,74031100,"9890252,3","9831799,63",1105333,1104403,6
2025,1,200,2,1,908,331,28369130,"2073794,46","2073794,46",309600,300000,6
2025,1,200,2,1,908,333,28369130,"2082354,16","2082354,16",309600,300000,6
2025,1,200,2,1,908,330,74031100,"9861036,96","9824510,06",1096611,1095679,6
2025,1,200,2,1,908,317,26131010,"2836629,49","2798408,71",102140,100000,6
2025,1,200,2,1,908,319,26139010,"2104619,68","1960125,84",106879,105283,6
2025,1,200,2,1,908,319,74031100,"9538865,06","9493330,75",1084196,1083272,6
2025,1,200,2,1,915,336,26030000,"115420081,02","124877567,73",63972800,63972800,6
2025,1,200,2,1,926,336,74031100,"34792717,93","34937311,18",3931406,3928258,6
2025,1,200,2,1,950,336,26030000,"600294472,43","644635591,67",235822400,235822400,6
2025,1,200,2,1,950,331,26030000,"24019227,68","25645380,1",10200000,10200000,6
2025,1,200,3,1,207,225,74031100,"5311531,43","5354798,12",601180,600676,6
2025,1,200,3,1,207,336,74031100,"1758005,09","1802197,5",201789,201525,6
2025,1,200,3,1,207,333,74031100,"11553896,2","11623226,85",1302760,1301098,6
2025,1,200,3,1,207,512,26030000,"19561622,46","22160189,76",10513580,10513580,6
2025,1,200,3,1,903,225,74031100,"1699238,4","1725046,52",191953,191785,6
