FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM,EXPORT_VALUE,EXPORT_UNIT,DESTINATION_TOTAL,VALUE_USD
Caldera,port,-27.07,-70.82,Philippines,country,14.6,120.98,port_to_country,concentrate,Copper,,1.74,kMT,34.78,15915379.737707999
Coloso,port,-23.76,-70.45,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.01,kMT,0.02,91467.69964199999
Mejillones,port,-23.1,-70.45,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Patache,port,-20.8,-70.22,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Barquito,port,-27.07,-70.84,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Coquimbo,port,-29.96,-71.35,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Angamos,port,-23.1,-70.42,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Caldera,port,-27.07,-70.82,Hong Kong,country,22.32,114.17,port_to_country,concentrate,Copper,,0.0,kMT,0.02,0.0
Coloso,port,-23.76,-70.45,India,country,19.08,72.88,port_to_country,concentrate,Copper,,59.88,kMT,171.08,547708585.456296
Mejillones,port,-23.1,-70.45,India,country,19.08,72.88,port_to_country,concentrate,Copper,,34.22,kMT,171.08,313002468.17492396
Patache,port,-20.8,-70.22,India,country,19.08,72.88,port_to_country,concentrate,Copper,,25.66,kMT,171.08,234706117.28137198
Barquito,port,-27.07,-70.84,India,country,19.08,72.88,port_to_country,concentrate,Copper,,13.69,kMT,171.08,125219280.80989799
Coquimbo,port,-29.96,-71.35,India,country,19.08,72.88,port_to_country,concentrate,Copper,,20.53,kMT,171.08,187783187.36502597
Angamos,port,-23.1,-70.42,India,country,19.08,72.88,port_to_country,concentrate,Copper,,8.55,kMT,171.08,78204883.19390999
Caldera,port,-27.07,-70.82,India,country,19.08,72.88,port_to_country,concentrate,Copper,,8.55,kMT,171.08,78204883.19390999
Coloso,port,-23.76,-70.45,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.02,kMT,0.07,182935.39928399998
Mejillones,port,-23.1,-70.45,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.01,kMT,0.07,91467.69964199999
Patache,port,-20.8,-70.22,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.01,kMT,0.07,91467.69964199999
Barquito,port,-27.07,-70.84,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.01,kMT,0.07,91467.69964199999
Coquimbo,port,-29.96,-71.35,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.01,kMT,0.07,91467.69964199999
Angamos,port,-23.1,-70.42,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.0,kMT,0.07,0.0
Caldera,port,-27.07,-70.82,Indonesia,country,-6.21,106.85,port_to_country,concentrate,Copper,,0.0,kMT,0.07,0.0
Coloso,port,-23.76,-70.45,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,217.38,kMT,621.09,1988324854.8177958
Mejillones,port,-23.1,-70.45,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,124.22,kMT,621.09,1136211764.9529238
Patache,port,-20.8,-70.22,Japan,country,35.68,139.69,port_to_country,concentrate,Copper,,93.16,kMT,621.09,852113089.8648719
