MINE_NAME,MINE_IDX,MINE_TYPE,MINE_STATUS,MINE_LAT,MINE_LON,MINE_REGION,MINE_OPERATOR,PLANT_NAME,PLANT_IDX,PLANT_TYPE,PLANT_STATUS,PLANT_LAT,PLANT_LON,PLANT_OPERATOR,PLANT_OWNER,PLANT_CAPACITY,PLANT_CAPACITY_UNITS,SHARED_COMMODITIES,DISTANCE_KM,PRODUCT_FORM
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,El Tesoro SX-EW plant,316.0,SX-EW Plant,Active,-22.9277,-69.0976,Minera El Tesoro S.A. ,"Antofagasta plc, 70%, and Marubeni Corp., 30%",110,tmt,Copper,86.7,cathode_sxew
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Centinela oxide and sulfide plant,279.0,Processing Plant,Active,-22.9275,-69.0965,Antofagasta plc,"Antofagasta plc, 70%, and Marubeni Corp., 30%",300,tmt,Copper,86.8,concentrate
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Mantos Blancos SX-EW plant,349.0,SX-EW Plant,Active,-23.4397,-70.0734,Empresa Minera de Mantos Blancos S.A. ,"Anglo American plc, 99.9%, and other private, 0.1%",100,tmt,Copper,91.2,cathode_sxew
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Lomas Bayas SX-EW plant,341.0,SX-EW Plant,Active,-23.4318,-69.5017,Compañía Minera Xstrata Lomas Bayas ,"Glencore plc, 100%",75,tmt,Copper,96.5,cathode_sxew
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Chuquicamata SX-EW plant (oxide) and smelter,292.0,Smelter,Active,-22.3137,-68.8895,Corporación Nacional del Cobre (CODELCO),"Government, 100%",450,tmt,Copper,108.3,cathode_sxew
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Chuquicamata Mine (plant to acid-leach fine copper),290.0,Processing Plant,Active,-22.3013,-68.8404,EcoMetales Ltd. ,"Codelco Technologies Ltd., 100%",25,tmt,Copper,113.5,cathode_sxew
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Radomiro Tomic SX-EW plant,441.0,SX-EW Plant,Active,-22.1927,-68.8674,Corporación Nacional del Cobre (CODELCO),"Government, 100%",480,tmt,Copper,115.5,cathode_sxew
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Altonorte smelter,269.0,Smelter,Active,-23.8247,-70.3178,Glencore Copper Chile S.A. ,Glencore Copper Chile S.A. ,300,tmt,Copper,139.2,blister
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Gabriela Mistral SX-EW plant,325.0,SX-EW Plant,Active,-23.4173,-68.7838,Minera Gaby S.A. ,"Corporación Nacional del Cobre (CODELCO) (Government, 100%), 100%",170,tmt,Copper,142.0,cathode_sxew
Antucoya,9.0,Mine (active),Active,-22.637999999999977,-69.88299999999998,Antofagasta,Antofagasta plc,Al Elbra SX-EW plant,268.0,SX-EW Plant,Active,-21.9859,-68.6886,Sociedad Contractual Minera El Abra ,"Freeport-McMoRan Copper & Gold Inc., 51%, and Corporación Nacional del Cobre (CODELCO) (Government, 100%), 49%",225,tmt,Copper,142.7,cathode_sxew
Barreal Seco,11.0,Mine (active),Active,-25.92199999999997,-70.05499999999995,Antofagasta,,Franke SX-EW Plant,324.0,SX-EW Plant,Active,-25.8334,-69.8639,Sociedad Contractual Minera Franke ,"KGHM International Ltd., 100%",,,Copper,21.5,cathode_sxew
