FROM_NAME,FROM_TYPE,FROM_LAT,FROM_LON,TO_NAME,TO_TYPE,TO_LAT,TO_LON,EDGE_TYPE,PRODUCT_FORM,COMMODITIES,DISTANCE_KM
Caspiche,mine,-27.68999999999994,-69.29399999999998,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,94.9
Caspiche,mine,-27.68999999999994,-69.29399999999998,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,silver_refined,Silver,94.9
Centinela,mine,-22.987999999999943,-69.07599999999996,Chuquicamata SX-EW plant (oxide) and smelter,smelter,-22.3137,-68.8895,mine_to_smelter,gold_refined,Gold,77.4
Cerro Bayo,mine,-46.509999999999934,-71.96999999999997,Gregorio refineries,smelter,-52.6225,-70.2015,mine_to_smelter,gold_refined,Gold,691.5
Cerro Bayo,mine,-46.509999999999934,-71.96999999999997,Gregorio refineries,smelter,-52.6225,-70.2015,mine_to_smelter,silver_refined,Silver,691.5
Cerro Casale,mine,-27.793999999999983,-69.27899999999994,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,98.6
Cerro Casale,mine,-27.793999999999983,-69.27899999999994,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,silver_refined,Silver,98.6
Ciclón-Exploradora,mine,-25.84299999999996,-69.30499999999995,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,56.9
Ciclón-Exploradora,mine,-25.84299999999996,-69.30499999999995,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,silver_refined,Silver,56.9
Costa Fuego,mine,-28.714999999999975,-70.80499999999995,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,138.2
Costa Fuego,mine,-28.714999999999975,-70.80499999999995,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,silver_refined,Silver,138.2
Diego de Almagro,mine,-26.375999999999976,-70.16299999999995,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,57.4
Domeyko,mine,-28.99099999999993,-70.87999999999994,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,169.3
El Abra,mine,-21.923999999999975,-68.83399999999995,Chuquicamata SX-EW plant (oxide) and smelter,smelter,-22.3137,-68.8895,mine_to_smelter,gold_refined,Gold,43.7
El Abra,mine,-21.923999999999975,-68.83399999999995,Chuquicamata SX-EW plant (oxide) and smelter,smelter,-22.3137,-68.8895,mine_to_smelter,silver_refined,Silver,43.7
El Espino,mine,-31.372999999999937,-71.09799999999996,Las Ventanas refinery and smelter,smelter,-32.7618,-71.4812,mine_to_smelter,gold_refined,Gold,158.6
El Hueso,mine,-26.466666999999973,-69.38333299999994,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,gold_refined,Gold,29.5
El Hueso,mine,-26.466666999999973,-69.38333299999994,Potrerillos SX-EW refinery and smelter,smelter,-26.283,-69.5965,mine_to_smelter,silver_refined,Silver,29.5
El Peñón,mine,-24.39416699999998,-69.49305599999997,Altonorte smelter,smelter,-23.8247,-70.3178,mine_to_smelter,gold_refined,Gold,105.0
El Peñón,mine,-24.39416699999998,-69.49305599999997,Altonorte smelter,smelter,-23.8247,-70.3178,mine_to_smelter,silver_refined,Silver,105.0
El Toqui,mine,-45.01699999999994,-71.89999999999998,Gregorio refineries,smelter,-52.6225,-70.2015,mine_to_smelter,gold_refined,Gold,854.7
El Toqui,mine,-45.01699999999994,-71.89999999999998,Gregorio refineries,smelter,-52.6225,-70.2015,mine_to_smelter,silver_refined,Silver,854.7
Encierro,mine,-29.063999999999965,-69.92699999999996,Biocobre refinery,smelter,-27.5734,-70.2484,mine_to_smelter,gold_refined,Gold,168.7
